Assembly ID,Assembly Description,Assembly Category,Assembly Qty,Assembly Notes,Component SKU,Component Description,Component Vendor,Component VN#,Component Qty
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",800FP-P4PN3R,"Red Pilot Light 24VDC",KDL,2156399,1
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",800FP-SM22PX10,"AB 2POS 1NO SWITCH BLACK",KDL,2155095,1
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",RJ1S-CLD-D24,"Relay (A2+ A1-) SPDT 12A 24VDC LED and Diode (NEED SOCKET)",GLA,3634496,2
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",SJ1S-07LW,"Socket for RJ1",GLA,3634498,2
ASM-MHM0FB7IJGV6,"DISCONNECT",Uncategorized,1,"",GLAS-R9-60-NF-KIT,"60AMP COMPACT NON-FUSED DISCONNECT UL98, SELECTOR HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS",GLA,4194057,1
ASM-MHM0FB7IJGV6,"DISCONNECT",Uncategorized,1,"",ADR21ITB,"2/0AWG AL 1HOLE LUG LAMLA2/0-14Q",GLA,38927,2
