Assembly ID,Assembly Description,Assembly Category,Assembly Qty,Assembly Notes,Component SKU,Component Description,Component Vendor,Component VN#,Component Qty
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",800FP-P4PN3R,"undefined",,,1
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",800FP-SM22PX10 ,"undefined",,,1
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",RJ1S-CLD-D24,"undefined",,,1
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",SJ1S-07LW,"undefined",,,1
ASM-MHM0FB7IJGV6,"DISCONNECT",Uncategorized,1,"",GLAS-R9-60-NF-KIT,"undefined",,,1
ASM-MHM0FB7IJGV6,"DISCONNECT",Uncategorized,1,"",ADR21ITB,"undefined",,,1
ASM-MHM0FB7I83VH,"ENCLOSURE",Uncategorized,1,"",CSD423610,"undefined",,,1
ASM-MHM0FB7I83VH,"ENCLOSURE",Uncategorized,1,"",CP4236G,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPAXLSA,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPAXCLKA5,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPR010BC1,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPAXFA11,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPAXEMCB,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTCE009B10TD,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPR012BC1,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",DM1-32011NB-S20S,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPR6P3BC1,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPR004BC1,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPR2P5BC1,"undefined",,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,1,"",XTPR001BC1,"undefined",,,1
