qt,PART,              DESCRIPTION,PART#,VNDR,VNDR#,COST,UNIT,VOLT,PHASE,AMPS,ASSEMBLY,TAGS,NOTES,LAST PRICE UPDATE,MANUAL Link
,DIS,Direct Handle for R9 (30-100A) C-FrameNF Disconnects,DHR9,GLA,2918650,$6.56,ea.,,,100.0A,DISCONNECT,,,5/21/2025,
,DIS,Direct Handle for R9 (100-400A) D-Frame NF Disconnects (Internal),DHR9DE,GLA,3613536,$41.13,ea.,,,400.0A,DISCONNECT,,,5/21/2025,
,DIS,100AMP NON-FUSED DISCONNECT UL98,R9C310OU,GLA,2822201,$107.00,,,,100.0A,DISCONNECT,,,5/21/2025,
,DIS,400AMP NON-FUSED Disconnect (NOT A KIT),R9E3400U,GLA,2879543,$460.09,ea.,,,400.0A,DISCONNECT,,,1/22/2024,
,DIS,"Pistol Handle, Size 2 for 400A Non-Fused Disconnect Above",PHR2N4XF,GLA,3650548,$70.87,ea.,,,400.0A,DISCONNECT,,,5/21/2025,
,DIS,Handle for 400A Non-Fused Disconnect Above,PHB2N4XF,GLA,3467127,$63.45,ea.,,,400.0A,DISCONNECT,,,1/22/2024,
,DIS,Shaft for use with Handle & Disconnect Above,SF320PH10X10,GLA,2812821,$20.43,ea.,,,,DISCONNECT,,,5/21/2025,
,DIS,"Line Side Terminal Shroud, 3 Pole",TS3R9ET,GLA,2879551,$57.87,ea.,,,,DISCONNECT,,,1/22/2024,
,DIS,"Load Side Terminal Shroud, 3 Pole",TS3R9EB,GLA,2879552,$57.87,ea.,,,,DISCONNECT,,,1/22/2024,
,DIS,Terminal Lugs for 100-200A Non-Fused Disconnect (Qty. 3),LK3R9DL,GLA,2812822,$11.15,ea.,,,200.0A,DISCONNECT,,,5/21/2025,
,DIS,Terminal Lugs for 400A Non-Fused Disconnect Above (Qty. 3),LK3R9EM,GLA,2879548,$49.54,ea.,,,400.0A,DISCONNECT,,,1/22/2024,
,DIS,200 AMP NON-FUSED DISCONNECT NEMA 3,194R-NU200-1753,KDL,2926763,$533.92,ea.,,,200.0A,DISCONNECT,,,10/1/2023,
,FSH,"CLASS CC 2POLE FUSE HOLDER, INDICATING FLIP STYLE, 30AMP, DIN MOUNT",E92/30SCC,GLA,4347803,$13.35,ea.,,,30.0A,DISCONNECT,,,8/9/2024,
,FSH,"CLASS CC 1POLE FUSE HOLDER, INDICATING FLIP STYLE, 30AMP, DIN MOUNT",E91/30SCC,GLA,4347574,$11.00,ea.,,1,30.0A,DISCONNECT,,,6/14/2024,
,FSH,CLASS CC 3POLE FUSE HOLDER INDICATING FLIP STYLE 30AMP DIN MOUNT,E93/30SCC,GLA,4347804,$17.80,ea.,,3,30.0A,DISCONNECT,,,6/14/2024,
,FUS,0.5A CLASS CC Time Delay Fuse,LP-CC-1/2,KDL,22685,$14.58,ea.,,,0.5A,FUSE,,,2/19/2025,
,FUS,0.6A CLASS CC Time Delay Fuse,LP-CC-6/10,KDL,22705,$14.58,ea.,,,0.6A,FUSE,,,2/19/2025,
,FUS,0.8A CLASS CC Time Delay Fuse,LP-CC-8/10,KDL,22709,$14.58,ea.,,,0.8A,FUSE,,,2/19/2025,
,FUS,1.0A CLASS CC Time Delay Fuse,LP-CC-1,KDL,22678,$14.00,ea.,,,1.0A,FUSE,,,2/19/2025,
,FUS,1.125A CLASS CC Time Delay Fuse,LP-CC-1-1/8,KDL,22681,$12.86,ea.,,,1.125A,FUSE,,,6/14/2024,
,FUS,1.25A CLASS CC Time Delay Fuse,LP-CC-1-1/4,KDL,22680,$12.86,ea.,,,1.25A,FUSE,,,6/14/2024,
,FUS,1.4A CLASS CC Time Delay Fuse,LP-CC-1-4/10,KDL,22682,$7.82,ea.,,,1.4A,FUSE,,,10/1/2023,
,FUS,1.5A CLASS CC Time Delay Fuse,LP-CC-1-1/2,KDL,22679,$14.58,ea.,,,1.5A,FUSE,,,2/19/2025,
,FUS,1.6A CLASS CC Time Delay Fuse,LP-CC-1-6/10,KDL,22683,$14.58,ea.,,,1.6A,FUSE,,,2/19/2025,
,FUS,1.8A CLASS CC Time Delay Fuse,LP-CC-1-8/10,KDL,22684,$14.58,ea.,,,1.8A,FUSE,,,2/19/2025,
,FUS,2A CLASS CC Time Delay Fuse,LP-CC-2,KDL,22689,$14.00,ea.,,,2.0A,FUSE,,,2/19/2025,
,FUS,2.25A CLASS CC Time Delay Fuse,LP-CC-2-1/4,KDL,22691,$14.58,ea.,,,2.25A,FUSE,,,2/19/2025,
,FUS,2.5A CLASS CC Time Delay Fuse,LP-CC-2-1/2,KDL,22690,$12.86,ea.,,,2.5A,FUSE,,,6/14/2024,
,FUS,2.8A CLASS CC Time Delay Fuse,LP-CC-2-8/10,KDL,22692,$7.82,ea.,,,2.8A,FUSE,,,10/1/2023,
,FUS,3A Class CC Time Delay Fuse,LP-CC-3,KDL,22695,$14.00,ea.,,,3.0A,FUSE,,,2/19/2025,
,FUS,3.2A Class CC Time Delay Fuse,LP-CC-3-2/10,KDL,22697,$14.00,ea.,,,3.2A,FUSE,,,2/19/2025,
,FUS,3.5A CLASS CC Time Delay Fuse,LP-CC-3-1/2,KDL,22696,$14.00,ea.,,,3.5A,FUSE,,,2/19/2025,
,FUS,4A Class CC Time Delay Fuse,LP-CC-4,KDL,22699,$14.00,ea.,,,4.0A,FUSE,,,2/19/2025,
,FUS,4.5A Class CC Time Delay Fuse,LP-CC-4-1/2,KDL,22700,$7.82,ea.,,,4.5A,FUSE,,,10/1/2023,
,FUS,5A Class CC Time Delay Fuse,LP-CC-5,KDL,22701,$12.35,ea.,,,5.0A,FUSE,,,6/14/2024,
,FUS,5.6A Class CC Time Delay Fuse,LP-CC-5-6/10,KDL,22702,$7.82,ea.,,,5.6A,FUSE,,,10/1/2023,
,FUS,6A Class CC Time Delay Fuse,LP-CC-6,KDL,22703,$14.00,ea.,,,6.0A,FUSE,,,2/19/2025,
,FUS,6.25A Class CC Time Delay Fuse,LP-CC-6-1/4,KDL,22704,$14.00,ea.,,,6.25A,FUSE,,,2/19/2025,
,FUS,7A Class CC Time Delay Fuse,LP-CC-7,KDL,22706,$14.00,ea.,,,7.0A,FUSE,,,2/19/2025,
,FUS,7.5A Class CC Time Delay Fuse,LP-CC-7-1/2,KDL,22707,$7.82,ea.,,,7.5A,FUSE,,,10/1/2023,
,FUS,8A Class CC Time Delay Fuse,LP-CC-8,KDL,22708,$14.00,ea.,,,8.0A,FUSE,,,2/19/2025,
,FUS,9A Class CC Time Delay Fuse,LP-CC-9,KDL,22710,$14.00,ea.,,,9.0A,FUSE,,,2/19/2025,
,FUS,10A Class CC Time Delay Fuse,LP-CC-10,KDL,22686,$12.35,ea.,,,10.0A,FUSE,,,6/14/2024,
,FUS,12A Class CC Time Delay Fuse,LP-CC-12,KDL,22687,$14.00,ea.,,,12.0A,FUSE,,,2/19/2025,
,FUS,15A Class CC Time Delay Fuse,LP-CC-15,KDL,22688,$14.00,ea.,,,15.0A,FUSE,,,2/19/2025,
,FUS,20A Class CC Time Delay Fuse,LP-CC-20,KDL,22693,$14.00,ea.,,,20.0A,FUSE,,,2/19/2025,
,FUS,25A Class CC Time Delay Fuse,LP-CC-25,KDL,22694,$14.00,ea.,,,25.0A,FUSE,,,2/19/2025,
,FUS,30A Class CC Time Delay Fuse,LP-CC-30,KDL,22698,$14.00,ea.,,,30.0A,DISCONNECT,,,2/19/2025,
,FSH,Class J 2P 30A w/ BFI,E92/30JS,GLA,4346637,$146.01,ea.,,,30.0A,DISCONNECT,,,6/13/2025,
,FSH,Class J 3P 30A w/ BFI,E93/30JS,GLA,4347808,$184.51,ea.,,3,30.0A,DISCONNECT,,,6/13/2025,
,FSH,Class J 1P 60A w/ Indicator,LFJ60060-1CID,GLA,2918013,$14.50,ea.,,1,60.0A,DISCONNECT,,,6/13/2025,
,FSH,Fuse Block Cover (for above Class J Holder),LFJ60060FBC,GLA,2962795,$6.35,ea.,,,,DISCONNECT,,,6/13/2025,
,FSH,Class J 2P 60A w/ BFI,E92/60JS,GLA,4347806,$127.70,ea.,,,60.0A,DISCONNECT,,,6/13/2025,
,FSH,Class J 3P 60A w/ BFI,E93/60JS,GLA,4347807,$191.54,ea.,,3,60.0A,DISCONNECT,,,6/13/2025,
,FUS,10A Class J Time Delay Fuses,,KDL,,,ea.,,,10.0A,DISCONNECT,,,,
,FUS,20A Class J Time Delay Fuses,,KDL,,,ea.,,,20.0A,DISCONNECT,,,,
,FUS,25A Class J Time Delay Fuses,,KDL,,,ea.,,,25.0A,DISCONNECT,,,,
,FUS,30A Class J Time Delay Fuses,LPJ-30SP LOW PEAK,KDL,22736,$24.98,ea.,,,30.0A,DISCONNECT,,,6/13/2025,
,FUS,35A Class J Time Delay Fuses,LPJ-35SP LOW PEAK,KDL,22738,$39.03,ea.,,,35.0A,DISCONNECT,,,6/13/2025,
,FUS,40A Class J Time Delay Fuses,LPJ-40SP LOW PEAK,KDL,22742,$37.99,ea.,,,40.0A,DISCONNECT,,,6/13/2025,
,FUS,45A Class J Time Delay Fuses,LPJ-45SP LOW PEAK,KDL,22744,$38.71,ea.,,,45.0A,DISCONNECT,,,6/13/2025,
,FUS,50A Class J Time Delay Fuses,LPJ-50SP LOW PEAK,KDL,22748,$37.74,ea.,,,50.0A,DISCONNECT,,,6/13/2025,
,FUS,60A Class J Time Delay Fuses,LPJ-60SP LOW PEAK,KDL,22751,$38.36,ea.,,,60.0A,DISCONNECT,,,6/13/2025,
,FUS,70A Class J Time Delay Fuses,LPJ-70SP LOW PEAK,KDL,22754,$67.74,ea.,,,70.0A,DISCONNECT,,,6/13/2025,
,FUS,80A Class J Time Delay Fuses,LPJ-80SP LOW PEAK,KDL,22756,$67.75,ea.,,,80.0A,DISCONNECT,,,6/13/2025,
,FUS,90A Class J Time Delay Fuses,LPJ-90SP LOW PEAK,KDL,22758,$69.99,ea.,,,90.0A,DISCONNECT,,,6/13/2025,
,FUS,100A Class J Time Delay Fuses,LPJ-100SP LOW PEAK,KDL,22716,$67.95,ea.,,,100.0A,DISCONNECT,,,6/13/2025,
,FUS,110A Class J Time Delay Fuses,LPJ-110SP LOW PEAK,KDL,22717,$138.61,ea.,,,110.0A,DISCONNECT,,,6/13/2025,
,FUS,125A Class J Time Delay Fuses,LP-125SP LOW PEAK,KDL,22719,$136.53,ea.,,,125.0A,DISCONNECT,,,6/13/2025,
,FUS,150A Class J Time Delay Fuses,LPJ-150SP LOW PEAK,KDL,22721,$138.54,ea.,,,150.0A,DISCONNECT,,,6/13/2025,
,FUS,175A Class J Time Delay Fuses,LPJ-175SP LOW PEAK,KDL,22723,$138.67,ea.,,,175.0A,DISCONNECT,,,6/13/2025,
,FSH,AB Fusible Term Block (w/ LED),1492-H5,KDL,2302,$12.35,ea.,,,,FUSE,,,6/13/2025,
,FSH,AB Fusible SW Term Block (uL Listed Fuseholder),1492-H6,KDL,2303,$7.87,ea.,,,,FUSE,,,6/13/2025,
,FSH,AB Hi-Density End Section (for fuseholders above),1492-N37,KDL,2418,$0.89,ea.,,,,FUSE,,,6/13/2025,
,FSH,Eaton Fuseholder 16A **USED FOR Coolness/STCs; use Arrow.com if Digikey is out of stock***,BK-HTB-34M-R,ARW,,$2.10,ea.,,,16.0A,FUSE,,,,
,FUS,1A Class R Glass Fuse uL Listed,AGC-1-R,KDL,2652141,$0.57,ea.,,,1.0A,FUSE,,,6/13/2025,
,FUS,2A Class R Glass Fuse uL Listed,AGC-2-R,KDL,2689611,$0.25,ea.,,,2.0A,FUSE,,,10/1/2023,
,FUS,3A Class R Glass Fuse uL Listed,AGC-3-R,KDL,,$0.28,ea.,,,3.0A,FUSE,,,10/1/2023,
,FUS,Slow Blow 4A Small dimension Fuse,MDL-4-R,KDL,2713943,$1.39,ea.,,,4.0A,FUSE,,,6/13/2025,
,FUS,4A Class R Glass Fuse uL Listed,AGC-4-R,KDL,2725149,$0.60,ea.,,,4.0A,FUSE,,,10/1/2023,
,FUS,4A *?* Fuse,GMC-4-R,KDL,,,ea.,,,4.0A,FUSE,,,,
,FUS,"4A Glass Tube Fuse, Time Delay, 1/4"" DIA, Size 3AG",7085K44,MCM,7085K44,$2.00,ea.,,,4.0A,FUSE,,,,
,FUS,"4A Glass Tube Fuse, Time Delay, 1/4"" DIA Size 3AB",71385K522,MCM,71385K522,$2.52,ea.,,,4.0A,FUSE,,,,
,FSH,FUSE HLDR CART 250V 16A PNL MNT (CE Listed),BK/HTB-34M-Râ€Ž,DGK,,$3.10,ea.,250 VAC,,16.0A,FUSE,,,,
,MCCB,60A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,PDG23F0060E3RJ,GLA,4189019,$417.40,ea.,600 VAC,3,60.0A,DISCONNECT,,,5/21/2025,
,MCCB,100A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,PDG23F0100E3RJ,GLA,4189020,$435.04,ea.,600 VAC,3,100.0A,DISCONNECT,,,5/21/2025,
,MCCB,150A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,PDG23F0150E3RJ,GLA,4182226,$516.39,ea.,600 VAC,3,150.0A,DISCONNECT,,,5/21/2025,
,MCCB,225A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,PDG23F0225E3RJ,GLA,4182231,$571.23,ea.,600 VAC,3,225.0A,DISCONNECT,,,5/21/2025,
,MCCB,250A 3POLE 600VAC 25KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,PDG33F0250E3RJ,GLA,4182234,$508.22,ea.,600 VAC,3,250.0A,DISCONNECT,,,1/22/2024,
,MCCB,400A 3POLE 600VAC 35KA@480V LSIG PXR20LSIG LINE AND LOAD LUGS,PDG33G0400E3RJ,GLA,4182236,"$1,153.23",ea.,600 VAC,3,400.0A,DISCONNECT,,,5/21/2025,
,MCCB,100A 3POLE 18KA@480V,PDG13C0100TFFJ,GLA,4130113,$197.59,ea.,480 VAC,3,100.0A,DISCONNECT,,,5/21/2025,
,MCCB,SHAFT 12INCH (307MM) FOR PDG1 & PDG2 MCCB,PDG12XHMS307,GLA,4002438,$8.45,ea.,,,,DISCONNECT,,,5/21/2025,
,MCCB,DOOR HANDLE RED/YELLOW LOCKABLE WITH MECHANISM FOR PDG2,PDG2XHMDE,GLA,4189021,$49.25,ea.,,,,DISCONNECT,,,5/21/2025,
,MCCB,SHAFT 9INCH (245MM) FOR PDG3 & PDG4 MCCB,PDG34XHMS245,GLA,4189023,$10.56,ea.,,,,DISCONNECT,,,5/21/2025,
,MCCB,DOOR HANDLE RED/YELLOW LOCKABLE WITH MECHANISM FOR PDG3 MCCB,PDG3XHMDE,GLA,4189022,$59.03,ea.,,,,DISCONNECT,,,5/21/2025,
,MCCB,TERMINAL DISTRIBUTION LUG 225A (6) 14-6AWG FOR PDG2 (Pack of 3),PDG2X3TA2256W,GLA,4187244,$80.65,3PCS,,,225.0A,DISCONNECT,,,5/21/2025,
,MCCB,TERMINAL DISTRIBUTION LUG 400A (6)14-3AWG FOR PDG3 (Pack of 3),PDG3X3TA4006W,GLA,4192390,$87.31,3PCS,,,400.0A,DISCONNECT,,,5/21/2025,
,MCCB,JGE3250FAG C-H 3P 250 Amp 25KA Fix Therm / Adj Mag Brkr w/ L/L Steel Coll,JGE3250FAG,GLA,2452144,$535.51,ea.,,3,250.0A,DISCONNECT,,,5/21/2025,
,MCCB,LGE3300FAG C-H LGE 3 POLE 300 AMP FIXED THERMAL ADJUSTABLE MAG BREAKER 78211614238,LGE3300FAG,GLA,2698941,"$1,825.35",ea.,,,300.0A,DISCONNECT,,,1/22/2024,
,MCCB,"LGE3350FAG CH SERIES G, LG-FRAME MOLDED CASE CIRCUIT BREAKER",LGE3350FAG,GLA,3710030,"$1,825.35",ea.,,,,DISCONNECT,,,1/22/2024,
,MCCB,LGE3400FAG C-H LGE 3 pole 400 Amp Fixed thermal adjustable mag breaker 78211614240,LGE3400FAG,GLA,2452156,"$1,825.35",ea.,,,400.0A,DISCONNECT,,,1/22/2024,
,MCCB,"3TA250FJ3 CH MOLDED CASE CIRCUIT BREAKER ACCESSORY, MULTI WIRE (3) TERMINAL CONNECTOR KIT FOR JG BREAKER",3TA250FJ3,GLA,3668980,$54.09,ea,,,,DISCONNECT,,,1/22/2024,
,MCCB,3TA250FJ6 C-H SERIES G: TERMINAL ACCESSORIES (LINE AND LOAD END),3TA250FJ6,GLA,3421789,$56.77,ea,,,,DISCONNECT,,,1/22/2024,
,MCCB,3TA600L6K CH 3P MAX 600A LG MULTIWIRE TERMINAL KIT (3) OF 6 WIRE 14-1/0,3TA600L6K,GLA,3802018,,ea,,3,600.0A,DISCONNECT,,,1/22/2024,
,MCCB,JGHMVD12RX CUTLER-HAMMER,JGHMVD12RX,GLA,3344132,$105.88,ea,,,,DISCONNECT,,,5/21/2025,
,MCB,1-Pole MCB UL 489 1A C CURVE 277V,FAZ-C1/1-NA-SP,GLA,3353584,$18.45,ea.,277 VAC,1,1.0A,BRANCH BREAKER,,,1/22/2024,
,MCB,1-Pole MCB UL 489 3A C CURVE 277V,FAZ-C3/1-NA-SP,GLA,3278086,$69.71,ea.,277 VAC,1,3.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,1-Pole MCB UL 489 5A C CURVE,FAZ-C5/1-NA-SP,GLA,3353585,$69.71,ea.,,1,5.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,1-Pole MCB UL 489 7A D CURVE 277V,FAZ-D7/1-NA-SP,GLA,3473199,$17.87,ea.,277 VAC,1,7.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,1-Pole MCB UL 489 15A D CURVE 277V,FAZ-D15/1-NA-SP,GLA,3617601,$18.09,ea.,277 VAC,1,15.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,1-Pole MCB UL 489 20A D CURVE 277V,FAZ-D20/1-NA-SP,GLA,3337551,$17.43,ea.,277 VAC,1,20.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,1-Pole MCB UL 489 25A D CURVE 277V,FAZ-D25/1-NA-SP,GLA,3473437,$17.43,ea.,277 VAC,1,25.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,1-Pole MCB UL 489 30A D CURVE 277V,FAZ-D30/1-NA-SP,GLA,3612927,$75.25,ea.,277 VAC,1,30.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,2-Pole MCB UL 489 25A C CURVE 240V,FAZ-C25/2-NA,GLA,3613096,$35.03,ea.,240 VAC,,25.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,2-Pole MCB UL 489 30A C CURVE 240V,FAZ-C30/2-NA,GLA,3625177,$38.43,,240 VAC,,30.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,2-Pole MCB UL 489 35A C CURVE 240V,FAZ-C35/2-NA,GLA,3916625,$152.77,ea.,240 VAC,,35.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,2-Pole MCB UL 489 40A C CURVE 240V,FAZ-C40/2-NA,GLA,3664111,$160.03,ea.,240 VAC,,40.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,2-Pole MCB UL 489 35A D CURVE 240V,FAZ-D35/2-NA,GLA,4056355,$36.25,ea.,240 VAC,,35.0A,BRANCH BREAKER,,,5/21/2025,
0,MCB,2-Pole MCB UL 489 50A C CURVE 240V,FAZ-C50/2-NA,GLA,3951645,$45.84,ea.,240 VAC,,50.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,C-H Quicklag 2-Pole MCB UL 489 70A Thermal Mag 120/240V (Needs DIN rail Adapter),QC2070,GLA,2658960,$72.27,ea.,240 VAC,,70.0A,BRANCH BREAKER,,,1/22/2024,
,MCB,CH QC Dinrail Adapter Accessory (for breaker above),QCDINADAPT,GLA,2021993,$8.76,ea.,,,,BRANCH BREAKER,,,1/22/2024,
,MCB,3-Pole MCB UL 489 10A C CURVE 480Y/277V,FAZ-C10/3-NA,GLA,3625735,$54.56,ea.,277 VAC,3,10.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,3-Pole MCB UL 489 15A C CURVE 480Y/277V,FAZ-C15/3-NA,GLA,3425022,$54.56,ea.,277 VAC,3,15.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,3-Pole MCB UL 489 15A D CURVE 480Y/277V,FAZ-D15/3-NA,GLA,2794230,$51.74,ea.,277 VAC,3,15.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,3-Pole MCB UL 489 20A C CURVE 480Y/277V,FAZ-C20/3-NA,GLA,3625736,$54.56,ea.,277 VAC,3,20.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,3-Pole MCB UL 489 25A C CURVE 480Y/277V,FAZ-C25/3-NA,GLA,3482938,$54.56,ea.,277 VAC,3,25.0A,BRANCH BREAKER,,,5/21/2025,
0,MCB,3-Pole MCB UL 489 30A C CURVE 480Y/277V,FAZ-C30/3-NA,GLA,3620735,$54.56,ea.,277 VAC,3,30.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,3-Pole MCB UL 489 35A C CURVE 240V,FAZ-C35/3-NA,GLA,3804953,$54.56,ea.,240 VAC,3,35.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,3-Pole MCB UL 489 40A C CURVE 240V,FAZ-C40/3-NA,GLA,3425023,$45.09,ea.,240 VAC,3,40.0A,BRANCH BREAKER,,,1/22/2024,
,MCB,3-Pole MCB UL 489 50A C CURVE 240V,FAZ-C50/3-NA,GLA,3951728,$54.56,ea.,240 VAC,3,50.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,3-Pole MCB UL 489 63A C CURVE 240V,FAZ-C63/3-NA,GLA,3951655,$73.51,ea.,240 VAC,3,63.0A,BRANCH BREAKER,,,5/21/2025,
,MCB,2-Pole MCB UL 489 70A 120/240V,QOU270,GRY,88243367,$45.75,ea.,240 VAC,,70.0A,BRANCH BREAKER,,,6/8/2023,
,MCB,MCB Auxiliary Trip Indicating Contacts,FAZ-XAM002,GLA,3896053,$34.25,ea.,,,,BRANCH BREAKER,,,1/23/2024,
,MCB,MCB Feeder UL 489 1-P INCOMING BUS BAR SUPPLY  2 - 14AWG,Z-EK/35/UL,GLA,3352297,$7.31,ea.,,,14.0A,BRANCH BREAKER,,,1/22/2024,
,MCB,MCB BUS BAR UL 489 80A 1-Pole FOR 6 BREAKERS (60A MAX),Z-SV/UL-16/1P-1TE/6,GLA,3667995,$7.76,ea.,,1,80.0A,BRANCH BREAKER,,,1/22/2024,
,MCB,MCB BUS BAR UL 489 80A 2-Pole FOR 3 BREAKERS (60A MAX),Z-SV/UL-16/2P-2TE/6,GLA,4197406,$9.31,ea.,,,80.0A,BRANCH BREAKER,,,1/22/2024,
,MCB,MCB BUS BAR UL 489 80A 3-Pole FOR 2 BREAKERS (60A MAX),Z-SV/UL-16/3P-3TE/6,GLA,3612828,$9.31,ea.,,3,80.0A,BRANCH BREAKER,,,1/22/2024,
,MCB,AB 1-Pole MCB UL 489 25A C Curve 240V,1489-M1C250,KDL,,$22.64,ea.,240 VAC,1,25.0A,BRANCH BREAKER,,,3/6/2024,
,MCB,AB 1-Pole MCB UL 489 10A C Curve 240V,1489-M1C100,KDL,3299520,$25.21,ea.,240 VAC,1,10.0A,BRANCH BREAKER,,,2/19/2025,
,MCB,AB 1-Pole MCB UL 489 4A C Curve 240V,1489-M1C040,KDL,3299525,$25.21,ea.,240 VAC,1,4.0A,BRANCH BREAKER,,,2/19/2025,
,MCB,AB 1-Pole MCB UL 489 1A C Curve 240V,1489-M1C010,KDL,3299528,$25.21,ea.,240 VAC,1,1.0A,BRANCH BREAKER,,,2/19/2025,
,MCB,3-Pole MCB UL 489 50A C Curve 240V,M9F42350,GRY,25899802,$38.36,ea.,240 VAC,3,50.0A,BRANCH BREAKER,,,3/4/2022,
,MCB,3-Pole MCB UL 489 63A C Curve 240V,M9F42363,GRY,25899803,$38.36,ea.,240 VAC,3,63.0A,BRANCH BREAKER,,,3/4/2022,
,DCB,PTCB E1 24VDC/1-4A SI-R,"$1,135,753.00",GRY,26540254,$29.72,ea.,24 VAC,,4.0A,BRANCH BREAKER,,,,
,DCB,PTCB E1 24VDC/1-8A SI-R,"$1,135,752.00",GRY,26429484,$29.72,ea.,24 VAC,,8.0A,BRANCH BREAKER,,,,
,PDB,ERICO PDB (85AMP UL1059) Load: 3x10AWG & 3x4AWG,UD80A,GLA,2456360,$10.83,ea.,,,85.0A,PWRDST,,,6/13/2025,
,PDB,ERICO PDB (150AMP UL1059) Load: 6x8AWG,UDJ125A,GLA,2385998,$18.24,ea.,,,150.0A,PWRDST,,,1/22/2024,
,PDB,ERICO PDB (200AMP UL1059) Load: 6x4AWG,UD160A,GLA,2455629,$16.31,ea.,,,200.0A,PWRDST,,,1/22/2024,
,PDB,ERICO PDB (255AMP UL1059) Load: 11x1AWG,UD250A,GLA,2460620,$37.12,ea.,,,255.0A,PWRDST,,,9/4/2024,
,PDB,ERICO PDB (335 A UL1059) Load: 11x1AWG,UD-400A,GLA,2460624,$45.52,ea.,,,335.0A,PWRDST,,,1/22/2024,
,PDB,AB PDB (335A UL 1059) #2 AWG MAX Eight Hole,1492-PDE1183,KDL,2591386,$40.36,ea,,,335.0A,PWRDST,,,10/1/2023,
,PDB,AB PDB (115A UL1953) #2 LINE #10 LOAD AWG MAX Four Hole,1492-PDME1141,KDL,2883580,$15.64,ea.,,,115.0A,PWRDST,,,2/19/2025,
,PDB,AB PDB (200A UL 1953) #2/0 LINE #2 LOAD AWG MAX Four Hole,1492-PDE1142,KDL,2860114,$23.28,ea.,,,200.0A,PWRDST,,,2/19/2025,
,PDB,"CH PDB Open 3-Pole 310A 300kCMIL-4AWG LINE, 4-14AWG LOAD",CHDB3703,GLA,2702982,$389.94,ea.,,3,310.0A,PWRDST,,,1/22/2024,
,PDB,1 Pole Cover for PDB Above,CHCPDB-1,GLA,4001279,$10.00,ea.,,,,PWRDST,,,1/22/2024,
,PS,EATON 60W 2.5A  480V 3PH,PSG60F24RM,GLA,3623207,$71.46,ea.,480 VAC,3,2.5A,PWRDST,,,5/21/2025,
,PS,UNO-PS/2AC/24DC/90W/C2LPS,"$2,904,371.00",GRY,25703583,$56.79,ea,,,2.0A,PWRDST,,,3/12/2025,
,PS,EATON 120W 5A 480V 3PH,PSG120F24RM,GLA,3612232,$141.89,ea.,480 VAC,3,5.0A,PWRDST,,,5/21/2025,
,PS,TRIO-PS-2G/3AC/24DC/5,"$2,903,153.00",GRY,25762600,$145.36,ea,,,3.0A,PWRDST,,,,
,PS,EATON 240W 10A 480V 3PH,PSG240F24RM,GLA,3612233,$205.76,ea.,480 VAC,3,10.0A,PWRDST,,,5/21/2025,
,PS,TRIO-PS-2G/3AC/24DC/10,"$2,903,154.00",GRY,25808885,$160.37,ea,,,3.0A,PWRDST,,,5/29/2025,
,PS,EATON 480W 20A 480V 3PH,PSG480F24RM,GLA,3612235,$230.88,ea.,480 VAC,3,20.0A,PWRDST,,,5/21/2025,
,PS,TRIO-PS-2G/3AC/24DC/20,"$2,903,155.00",GRY,25796533,$209.72,ea,,,3.0A,PWRDST,,,,
,PS,12VDC 1.3A 15VA DIN Mnt 85-265VAC,PS5R-VB12,GLA,3606062,$23.16,ea.,12 VAC,,1.3A,PWRDST,,,9/11/2024,
,PS,24VDC 1.25A 30VA Slim 85-264VAC,PS5R-VC24,GLA,3552279,$25.26,ea.,24 VAC,,1.25A,PWRDST,,,9/11/2024,
,PS,UNO-PS/1AC/24DC/30W,"$2,902,991.00",GRY,25566491,$18.68,,,,1.0A,PWRDST,,,,
,PS,24VDC 2.5A 60VA Slim 85-264VAC,PS5R-VD24,,3552281,$31.58,ea.,24 VAC,,2.5A,PWRDST,,,9/11/2024,
